Κωδικός,Υπουργείο,Τακτικός Προϋπολογισμός,Προϋπολογισμός Δημοσίων Επενδύσεων,Γενικό Σύνολο
1001,Προεδρία της Δημοκρατίας,4638000,0,4638000
1003,Βουλή των Ελλήνων,169950000,2000000,171950000
1004,Προεδρία της Κυβέρνησης,37689000,4000000,41689000
1007,Υπουργείο Εσωτερικών,3449276000,381000000,3830276000
1009,Υπουργείο Εξωτερικών,390237000,30000000,420237000
1011,Υπουργείο Εθνικής Άμυνας,6061000000,69000000,6130000000
1015,Υπουργείο Υγείας,6608424000,569000000,7177424000
1017,Υπουργείο Δικαιοσύνης,577803000,73000000,650803000
1020,Υπουργείο Παιδείας Θρησκευμάτων και Αθλητισμού,5594000000,1012000000,6606000000
1022,Υπουργείο Πολιτισμού,257419000,318000000,575419000
1024,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1243381464000,3137000000,1246518464000
1029,Υπουργείο Αγροτικής Ανάπτυξης και Τροφίμων,222403000,1059000000,1281403000
1031,Υπουργείο Περιβάλλοντος και Ενέργειας,319227000,2022000000,2341227000
1032,Υπουργείο Εργασίας και Κοινωνικής Ασφάλισης,18215084000,463000000,18678084000
1034,Υπουργείο Κοινωνικής Συνοχής και Οικογένειας,3786553000,203000000,3989553000
1036,Υπουργείο Ανάπτυξης,123045000,695000000,818045000
1039,Υπουργείο Υποδομών και Μεταφορών,881810000,1813000000,2694810000
1041,Υπουργείο Ναυτιλίας και Νησιωτικής Πολίτικης,336864000,315000000,651864000
1045,Υπουργείο Τουρισμού,39293000,150000000,189293000
1053,Υπουργείο Ψηφιακής Διακυβέρνησης,151928000,922000000,1073928000
1055,Υπουργείο Μετανάστευσης και Ασύλου,141871000,334000000,475871000
1057,Υπουργείο Προστασίας του Πολίτη,2217820000,68000000,2285820000
1060,Υπουργείο Κλιματικής Κρίσης και Πολιτικής Προστασίας,760116000,461000000,1221116000
1901,Αποκεντρωμένη Διοίκηση Αττικής,13091000,0,13091000
1902,Αποκεντρωμένη Διοίκηση Θεσσαλίας - Στερεάς Ελλάδας,10579000,0,10579000
1905,Αποκεντρωμένη Διοίκηση Αιγαίου,6188000,0,6188000
1906,Αποκεντρωμένη Διοίκηση Κρήτης,6497000,0,6497000
1907,Αποκεντρωμένη Διοίκηση Μακεδονίας - Θράκης,18376000,0,18376000
